id,PB,PS,NB,NS,KB,KS,W,UP,down,R,T,G,B
E24,29026440.83,53349889.61,667,559,0.074601583,0.079620959,0.555043948,365,49,0.92760541,37,6,1
E25,3550420.82,15609969.19,489,278,0.07464999,0.080404826,0.546419564,366,234,0.899915182,34,2,1
E26,13775947.13,14163614.27,244,150,0.075014085,0.1651343,0.538211507,117,44,0.92796282,37,6,1
E27,15837969.57,15883805.86,799,450,0.075383781,0.170489747,0.53797112,406,181,0.940343028,37,6,1
E28,679081.67,25811293.8,74,252,0.075712926,0.176187361,0.555612697,61,6,0.922764228,37,4,1
E29,117864.28,37341103.02,30,372,0.100867788,0.234410232,0.564115511,17,4,0.98467433,36,2,0
E30,9083921.76,39054260.9,276,373,0.092762943,0.236936288,0.55901503,170,7,0.954252577,37,4,1
E31,1642538.82,17611323.88,130,811,0.092786409,0.178485986,0.549168669,109,153,0.958595561,37,6,1
E32,995779.08,18270101.31,1087,187,0.12402406,0.238528443,0.550086767,272,13,0.965946106,36,4,1
E33,24775736.27,25665489.12,398,307,0.093172904,0.180673894,0.538564591,242,86,0.838152784,34,4,1
E34,18053623.48,32857197.58,670,204,0.093741817,0.193331411,0.548349254,450,71,0.853537031,37,4,1
E35,11112802.89,12536056.46,204,239,0.093968339,0.198014087,0.538939766,103,32,0.934631433,37,4,1
E36,8415765.85,15396753.6,584,535,0.125361939,0.265145892,0.54284815,417,203,0.91509434,32,0,0
E37,16209227.25,16431410.43,190,384,0.09416187,0.201041197,0.538095133,78,280,0.922098569,37,4,1
E38,4904938.78,24246431.49,367,264,0.129674696,0.268292534,0.55154047,235,8,0.924270639,34,4,1
E39,172264.83,16661933.34,128,118,0.130202717,0.272269686,0.549534972,54,2,0.921245421,31,2,1
E40,1593018.35,12783762.96,1081,274,0.098100741,0.208508358,0.545808592,801,535,0.928944099,35,2,1
E41,1948506.47,10900878.59,693,191,0.098259464,0.210298954,0.544234494,486,13,0.931649331,38,2,1
E42,20175.43,16934560.17,80,185,0.133045507,0.212221762,0.549833647,7,28,0.879679144,28,6,1
E43,3395224.95,17511643.51,58,185,0.134785837,0.423933091,0.547866023,19,6,0.796116505,23,4,1
E44,11172937.07,12405101.07,395,727,0.101411658,0.216084431,0.538805386,211,33,0.910597826,37,2,1
E45,11138519.67,14884008.43,244,159,0.13563189,0.294069227,0.540572839,114,64,0.954545455,29,4,0
E46,17166340.05,20998330.64,805,288,0.103151131,0.235263825,0.54063367,440,148,0.931339031,37,2,1
E47,15505869.4,18817500,908,1088,0.10339543,0.238322664,0.540267736,373,767,0.951972556,37,2,1
E48,4517052.74,9312720.77,380,156,0.103576268,0.240854224,0.541311361,233,58,0.95951417,38,6,1
E49,7977596.45,16581312.26,1139,190,0.103889403,0.241455509,0.543989307,713,295,0.949793839,37,2,1
E50,810684.12,20149002.95,79,235,0.140542289,0.322076998,0.551538238,66,5,0.836099585,30,2,1
E51,7323683.88,9921763.65,145,270,0.106837483,0.258020445,0.539765943,61,132,0.942835932,37,4,1
E52,7409897.19,10280989.47,168,137,0.115587556,0.263399317,0.539957935,130,13,0.847880299,29,0,0
E53,13543759.99,15348628.44,230,158,0.154139662,0.351669178,0.53920813,63,46,0.909343201,32,2,1
E54,2627976.42,11924889.89,485,1010,0.11564549,0.264692663,0.544476787,458,1132,0.905423928,38,6,1
E55,3619913.64,14103780.26,236,189,0.115799149,0.3526834,0.545311492,137,24,0.729595458,38,2,1
E56,9495043.45,10467204.87,384,157,0.115829506,0.267287376,0.538622543,163,39,0.933962264,36,2,1
E57,12729388.22,16144163.51,48,165,0.168204742,0.397237988,0.540340271,41,25,0.862676056,37,4,1
E58,2786285.02,11316188.9,540,131,0.224435826,0.531488815,0.5439374,353,23,0.901156069,30,4,1
E59,6805504.5,10039874.3,171,670,0.168416689,0.399993233,0.540213403,76,186,0.961781076,37,6,1
E60,2220174.86,4733239.43,218,242,0.168523106,0.401495028,0.539706158,129,8,0.905624404,29,4,1
E61,351927.29,4013318.34,76,419,0.168574299,0.401214845,0.540513699,44,66,0.92777413,37,4,1
E62,412370.33,5171403.05,175,84,0.168637373,0.401017015,0.541285597,148,30,0.898395722,37,4,1
E63,12897677.6,28249448.5,480,314,0.168539381,0.533437432,0.548734764,292,39,0.94488189,38,4,1
E64,57242.56,2974673.78,20,429,0.168539875,0.400210722,0.539990522,21,184,0.93318809,37,6,1
E65,1708082.08,2743796.19,204,151,0.168503819,0.400497902,0.538667235,38,58,0.951492537,36,4,1
E66,1977251.79,2243837.18,214,279,0.177916713,0.409069434,0.538126358,29,156,0.946485623,32,4,1
E67,408789.39,2834552,197,83,0.178185405,0.548572399,0.539644764,195,23,0.936526946,38,4,1
E68,2960,5957078.2,12,65,0.356418225,0.822396106,0.542126021,2,8,0.894736842,23,2,1
E69,39000,2671264.95,12,337,0.712755273,0.557332955,0.539789983,1,21,0.758802817,19,2,1
E70,1920026.85,3739212.27,561,160,0.178264774,0.417854681,0.539218199,187,59,0.920734251,38,4,1
E71,3762712.26,8657451.4,412,253,0.237591362,0.558764746,0.541381031,283,289,0.939301042,35,4,1
E72,779367.78,2960675.83,44,117,0.178710702,0.449028358,0.539472855,54,29,0.783561644,34,2,1
E73,274354.28,2421608.17,188,72,0.178722283,0.448241588,0.539448907,118,61,0.958333333,38,2,1
E74,505972.5,1743238.99,28,219,0.247549082,0.449659329,0.538808974,8,22,0.87630662,28,4,1
E75,990827,1907828.69,194,2502,0.185704713,0.449156745,0.538583753,56,7927,0.934210526,37,2,1
E76,331447.27,1434932.6,121,74,0.185631937,0.449034151,0.538714894,101,73,0.946127946,37,4,1
E77,570268.94,3706640.23,37,201,0.185610066,0.600231943,0.540144488,16,2,0.939102564,36,2,1
E78,2044891.97,3764650.16,28,93,0.247397137,0.599439956,0.539148278,16,39,0.9375,32,2,1
E79,1047799.76,1748709.54,48,37,0.185556162,0.450942813,0.53843179,46,15,0.941666667,38,4,1
E80,945467.21,5668859.51,141,70,0.185544048,0.457277985,0.541260534,106,39,0.986394558,35,2,1
E81,778332.45,1267653.62,68,196,0.185512199,0.457065503,0.538282994,68,120,0.932242991,37,6,1
E82,580885.1,1577364.84,106,154,0.185471723,0.609480241,0.538639644,68,8,0.96651446,37,0,0
E83,12959543.2,1637490.41,921,310,0.185484939,0.457681635,0.529976841,262,186,0.904922644,38,4,1
E84,1031666.7,2123956.27,34,166,0.185516195,0.457955874,0.538707021,19,35,0.879781421,37,6,1
E85,167403.92,888414.16,87,80,0.185478306,0.460318627,0.538445925,38,26,0.905950096,37,4,1
E86,909843.85,3566452.76,71,17,0.233503878,0.614925383,0.539807103,36,7,0.8875,32,2,1
E87,660493.13,2360755.42,143,38,0.233545885,0.462480017,0.539134568,82,13,0.975717439,31,2,0
E88,256296.92,945465.32,80,124,0.233629833,0.464162968,0.538423533,26,91,0.928338762,37,6,1
E89,2038815.52,1126119.65,47,86,0.233815269,0.465430466,0.537297048,12,25,0.962025316,37,6,1
E90,395282.7,1338102.05,69,70,0.234271447,0.466168273,0.538601909,36,54,0.77443609,33,2,1
E91,503981.88,876660.16,56,39,0.234262581,0.466249398,0.538200966,35,73,0.941176471,37,6,1
E92,63756.96,2401840,84,36,0.234352285,0.470932124,0.539583105,89,13,0.968253968,37,2,1
E93,127095.24,536476.46,85,48,0.234484514,0.471710943,0.538226777,65,29,0.935933148,37,4,1
E94,65384,587397.95,16,89,0.468802911,0.630907376,0.538305984,4,61,0.82,33,2,1
E95,4552,816027.58,16,296,0.312560472,0.473329934,0.538509543,1,489,0.946564885,37,4,1
E96,4175091.36,4444050,18,54,0.332223695,0.96753798,0.538128027,6,3,0.935483871,24,2,1
E97,26506.67,639380.78,12,161,0.33220227,0.646285518,0.53836988,2,67,0.941391941,19,4,1
E98,126767.99,595266.89,30,51,0.249398536,0.485355229,0.538268351,27,25,0.828431373,37,4,1
E99,2235838.08,2964011.52,418,12,0.33285504,0.970402459,0.538450963,81,3,0.961711712,26,0,0
E100,10365.79,339277.78,25,40,0.249907435,0.485493185,0.538170189,21,13,0.802547771,37,0,0
E101,53158,1177134,16,96,0.499648859,0.969249299,0.538729304,6,2,0.607594937,15,0,0
E102,1157713.4,245391.5,223,78,0.249865078,0.484707186,0.537297311,70,105,0.932522124,38,0,0
E103,316399.55,1377620.19,72,40,0.250060883,0.968630929,0.538685172,66,20,0.927966102,32,0,0
E104,3360,396876,12,22,1,0.974142243,0.53821562,1,10,0.818181818,15,2,1
E105,20352,511087.92,14,63,0.33339224,0.487672752,0.538283989,4,101,0.9609375,30,2,1
E106,34930.27,234854.2,22,51,0.333506386,0.488280573,0.53807948,19,105,0.882978723,33,4,1
E107,190131.43,909818.18,15,37,0.334025465,0.6547288,0.538444994,7,4,0.682539683,29,0,0
E108,51228.23,591648.78,104,99,0.26259239,0.981198971,0.538318928,70,19,0.964143426,27,0,0
E109,5778.86,456807,17,23,0.35041935,0.659129377,0.538256065,7,17,0.76744186,25,0,0
E110,4160,115901.43,12,35,0.350429308,0.493936295,0.538017467,1,37,0.755813953,27,2,1
E111,321009.29,1186696,102,81,0.263491435,0.494372668,0.538547666,96,11,0.795454545,37,0,0
E112,410372.53,1432930.24,46,19,0.351246156,0.987192978,0.538657983,25,2,0.874015748,29,0,0
E113,740498.58,790800,55,74,0.35153246,0.986639297,0.53797426,35,4,0.880794702,30,0,0
E114,286363.11,115470.82,30,33,0.263724594,0.495794452,0.53781871,20,23,0.880794702,37,0,0
E115,3360,171600,12,12,0.527547262,0.992901632,0.538057199,2,4,0.75,15,0,0
E116,4810.71,190696.26,17,34,0.351856325,0.663162385,0.538069608,8,25,0.929824561,27,0,0
E117,21360,630201.6,12,31,0.52888368,0.993935998,0.538367044,3,1,0.625,17,0,0
E118,58039.53,112583.28,23,54,0.265407549,0.663310933,0.537977244,9,118,0.930635838,35,0,0
E119,94828.58,44090.4,121,21,0.265514786,0.665438235,0.537903206,17,17,0.982089552,32,0,0
E120,19446.34,392786.84,35,18,0.353911981,0.66704789,0.538201432,16,26,0.676923077,26,0,0
E121,626759.94,57143.78,25,81,0.35383524,1,0.537538314,11,123,0.894067797,32,0,0
E122,37474.27,28980.28,29,47,0.265446644,0.500408176,0.537932913,22,70,0.789156627,34,0,0
E123,3360,182047.76,12,26,0.000140928,0.006536767,0.538064546,2,7,0.529411765,34,0,0
